t,bgt127,jt305,gob33
0.0,0.2,0.2,0.2
0.5,0.28446024914949947,0.22882711207774362,0.2314065896734985
1.0,0.40458820134912005,0.2618092722221484,0.2677450940327886
1.5,0.5754461537931487,0.29954520067597645,0.3097897804164973
2.0,0.8184557581773155,0.34272040923172076,0.35843716068207526
2.5,1.164087262916353,0.392118543873049,0.414723296106199
3.0,1.655691287446787,0.44863661770333774,0.47984872462279043
3.5,2.3548559860473217,0.513301638129385,0.5552010508781511
4.0,3.3493556624039575,0.5872858137525697,0.6423842725210985
4.5,4.763687684161302,0.6719338685552089,0.7432610739702417
5.0,6.775504140660513,0.7687848971357986,0.8599786344272907
5.5,9.636465505662178,0.8795943068515559,0.9950187708396983
6.0,13.786211929152888,1.0063703407846964,1.151269785732156
6.5,19.14591565524028,1.151425526952168,1.3320621153611716
7.0,24.40154863207627,1.3173913139340072,1.5412374562858997
7.5,29.524666384002558,1.507272907627862,1.7832461085955578
8.0,34.51616285918786,1.724509478399758,2.0632796437344134
8.5,39.37943807854841,1.973071964663439,2.387297419884507
9.0,44.11777415873783,2.257477404496275,2.762180611674453
9.5,48.73436622490252,2.5828681497385277,3.1958864631606154
10.0,53.23233536257443,2.955121191868703,3.6977318672662083
10.5,57.6147286176711,3.3810202522032697,4.278451836900657
11.0,61.88451899649558,3.8683657627740065,4.950337305779239
11.5,66.0446054657366,4.425976714156206,5.72763488887665
12.0,70.09781295246827,5.063936285372966,6.626920734943648
12.5,74.04689234415068,5.79373990763396,7.667577236615946
13.0,77.89452048862864,6.628702181641377,8.871805904694893
13.5,81.64330252052076,7.58415689065434,10.265040251856991
14.0,85.29578827204578,8.677457000488927,11.876795279657879
14.5,88.85443992405555,9.908527952084562,13.741423963476748
15.0,92.3216569112512,11.304243259177614,15.899207154708728
15.5,95.6997831664011,12.941935256386696,18.396372280729036
16.0,98.99110712034083,14.831352072938559,21.293393774591937
16.5,102.19786170197301,16.91108760736133,24.66628744192897
17.0,105.32222433826772,19.048581527484544,28.482650511986815
17.5,108.36631695426192,21.144183338113,32.66038557016356
18.0,111.33220597305996,23.224532883193703,37.07859931246848
18.5,114.22190231583355,25.289746283321502,41.57760254552157
19.0,117.03736323387749,27.339933667184823,46.023473077842596
19.5,119.78053154967569,29.37520544324112,50.43767517726471
20.0,122.45325584430071,31.395671404304608,54.821896819937685
20.5,125.05732034272589,33.40143860089158,59.17634163165929
21.0,127.59447109276145,35.39261337121513,63.50121188751736
21.5,130.06641596505452,37.36930136523743,67.79671122183576
22.0,132.47482465308914,39.33160754466974,72.06303998757812
22.5,134.8213286731862,41.27963618297236,76.3003951904486
23.0,137.10752136450347,43.213490865354665,80.50897264406413
23.5,139.33495788903568,45.1332744887751,84.68896696995435
24.0,141.50515523161437,47.039089261941236,88.84057159756169
24.5,143.61959219990803,48.931036705309644,92.96397876424122
25.0,145.67970942442196,50.809217651085945,97.05937951526079
25.5,147.68690935849847,52.67373224322494,101.12696370380101
26.0,149.64255627831662,54.524679937430406,105.16691999095521
26.5,151.5479762828926,56.36215950115516,109.17943584572932
27.0,153.4044660334608,58.18626901360134,113.1646975450423
27.5,155.2133119494619,59.99710586571966,117.12289017372555
28.0,156.9757167067942,61.79476676021054,121.05419762452328
28.5,158.69285090534822,63.57934771152282,124.9588025980926
29.0,160.3658608869661,65.350944045855,128.8368866030032
29.5,161.99586873544163,67.1096504011541,132.68862995573735
30.0,163.5839722765204,68.85556072711681,136.5142117806903
30.5,165.13124507789956,70.5887682851884,140.3138100101701
31.0,166.63873644922802,72.30936564856331,144.0876013843972
31.5,168.10747144210626,74.01744470218524,147.83576145150522
32.0,169.53845085008652,75.71309664274685,151.55846456753997
32.5,170.93265120867267,77.39641197868953,155.25588389646077
33.0,172.29102479532028,79.06748053020438,158.92819141013828
33.5,173.61449962943664,80.72639142923146,162.57555788835805
34.0,174.90397947238057,82.37323311945939,166.19815291881565
34.5,176.16034382746267,84.0080933563263,169.79614489712253
35.0,177.38444793994526,85.63105920701916,173.36970102679967
35.5,178.57712279704225,87.24221705047397,176.9189873192834
36.0,179.73919048548152,88.8416525773763,180.4441685939207
36.5,180.87147656719065,90.42945215945059,183.9454084779732
37.0,181.974721887785,92.00570169468276,187.42286940661353
37.5,183.04964754179105,93.57048457736236,190.87671262292815
38.0,184.09696079149674,95.12388366320054,194.30709817791669
38.5,185.1173550669516,96.66598127795363,197.71418608449906
39.0,186.1115099659667,98.19685921742324,201.09813820597282
39.5,187.08009125411454,99.71659874745609,204.45911093258997
40.0,188.02375086472927,101.22528060394414,207.79725925428406
40.5,188.94312689890646,102.72298499282464,211.11273723571753
41.0,189.83884362550327,104.20979159007989,214.4056980162816
41.5,190.71151148113836,105.68577954173755,217.67629381009633
42.0,191.56172707019195,107.1510274638704,220.92467590601052
42.5,192.3900731648057,108.60561344259644,224.15099466760188
43.0,193.19711870488285,110.04961503407888,227.35539953317692
43.5,193.98341879808825,111.4831092645261,230.538039015771
44.0,194.74951471984807,112.90617263019185,233.69906070314823
44.5,195.49593391335026,114.31888109737488,236.8386112578016
45.0,196.223189989544,115.72131010241922,239.9568364169528
45.5,196.9317827271403,117.11353455171417,243.0538809925526
46.0,197.62219807261152,118.49562882169414,246.12988887128031
46.5,198.29490814019144,119.86766675883878,249.1850030145443
47.0,198.95037849205326,121.22972167967309,252.2193654584815
47.5,199.5890825770859,122.5818663707669,255.23311731395793
48.0,200.21143352403723,123.92417308873573,258.22639876656814
48.5,200.81783011259338,125.25671356024009,261.1993490766359
49.0,201.40866402591777,126.57955898198534,264.1521065792133
49.5,201.9843198506512,127.89278002072271,267.08480868408174
50.0,202.54517507691173,129.19644681324806,269.9975918757512
50.5,203.09160009829486,130.49062896640322,272.89059171346037
51.0,203.62395821187343,131.775395557074,275.7639428311768
51.5,204.1426056181975,133.05081513219255,278.6177789375974
52.0,204.64789142129464,134.3169557087359,281.452232816147
52.5,205.14015762866967,135.57388477372595,284.26743632497994
53.0,205.6197391513047,136.82166928422976,287.0635203969788
53.5,206.08696380365933,138.06037566736077,289.84061503975585
54.0,206.54215230367038,139.2900698202761,292.5988493356515
54.5,206.98561827275205,140.51081716997567,295.33835144173497
55.0,207.41766823579587,141.72268669871085,298.0592485898041
55.5,207.83860162117074,142.92574465773868,300.76166708638686
56.0,208.24871076072293,144.12005412028986,303.4457323127386
56.5,208.64828088977598,145.30567778293144,306.1115687248439
57.0,209.03759014713074,146.48267796556675,308.75929985341577
57.5,209.41690957506557,147.65111661143558,311.3890483038977
58.0,209.786503119336,148.81105528711393,314.00094129055867
58.5,210.14662762917501,149.96255518251428,316.59510561178377
59.0,210.49753285729287,151.10567711088538,319.17165983787197
59.5,210.83946145987716,152.24048150881237,321.73072185173424
60.0,211.17266514799678,153.36702843621666,324.272408872294
60.5,211.4973791066061,154.48537757635611,326.7968374544869
61.0,211.81380310335743,155.59558823582486,329.3041234892609
61.5,212.12213362260198,156.69771934455343,331.7943822035765
62.0,212.42256401245763,157.79182945580874,334.26772816040636
62.5,212.7152844848089,158.87797674619387,336.7242752587355
63.0,213.000482115307,159.9562190156484,339.1641367335613
63.5,213.2783408433697,161.02661368744833,341.5874251558935
64.0,213.54904147218153,162.08921780820583,343.99425243275425
64.5,213.8127616686936,163.1440880478695,346.3847298071779
65.0,214.06967596362372,164.19128069972433,348.75896785821124
65.5,214.3199557514563,165.23085168039154,351.11707650091336
66.0,214.56376929044237,166.26285652982887,353.4591649863557
66.5,214.80128170259974,167.2873504113302,355.78534190162196
67.0,215.03265497371274,168.304388111526,358.0957151698084
67.5,215.25804795333244,169.3140240403828,360.39039205002337
68.0,215.47761635477647,170.3163122312038,362.66947913738767
68.5,215.69151275512925,171.31130634062822,364.9330823630345
69.0,215.8998865952417,172.2990596486318,367.1813069941095
69.5,216.10288417973146,173.2796250585268,369.41425763377
70.0,216.30064867698283,174.25305509696148,371.6320382211867
70.5,216.49332011914674,175.21940191392068,373.83475203154194
71.0,216.6810354021408,176.17871728272542,376.0225016760303
71.5,216.86392828564922,177.13105260003334,378.19538910185946
72.0,217.0421293931229,178.07645888583806,380.3535155922486
72.5,217.21576621177937,179.01498678347,382.49698176642954
73.0,217.38496309260282,179.94668655959535,384.6258875796467
