time,data,data_error,nutrient_n,logistic_n,interface_n,logistic,interface
0.42,0.322,0.092,0.25304848146020487,0.24516220815362896,0.26992836419188065,0.24239945573188457,0.2701889255156673
0.74,0.264,0.093,0.30221326369974166,0.2861735554372392,0.3392051860671493,0.28063170044963637,0.33978230968982237
1.06,0.448,0.099,0.360383359761395,0.33391118256663227,0.4262623882081263,0.32488225937494253,0.4273014797272513
1.39,0.75,0.128,0.43141405223902646,0.39132532210284476,0.5394991405991052,0.37781916390213677,0.5412251623039411
1.71,0.366,0.122,0.5127974193830307,0.45621186924155965,0.67796284213656,0.43735447271855826,0.6806298831779043
2.04,0.288,0.179,0.6117695093346651,0.5341641212114134,0.8580607417262045,0.5085624160611958,0.8620944688145915
2.36,-0.089,0.321,0.7246888600760176,0.6221597810483585,1.0782874841635723,0.5886283905926687,1.084146845029744
2.68,0.029,0.295,0.856940908626963,0.724297993392256,1.3550164174866206,0.6812465729442527,1.3633879507643862
3.01,0.851,0.302,1.016710892843774,0.8467736244023906,1.714988006173512,0.7919780094834599,1.7268959490972686
3.33,1.241,0.378,1.19775171620383,0.9847533494392042,2.1551434848723563,0.9164211130577408,2.1716674175542514
3.66,1.653,0.451,1.4154166628603513,1.1499542838880072,2.727604659749342,1.0651292089315907,2.7506838624838963
3.98,3.432,0.529,1.660834969664644,1.33578052276784,3.4276961502749344,1.2321768045375132,3.4591907423717396
4.31,2.88,0.803,1.9543524011053475,1.5579157723572583,4.33826721485769,1.4316967788748485,4.381351741904508
4.63,3.919,1.178,2.2835404537191084,1.807325302946501,5.4514959827684715,1.6556618266438392,5.509968282466952
4.95,5.563,1.32,2.662398347829225,2.09519246879274,6.850765096897981,1.9142525159687283,6.929188128953276
5.28,6.64,1.375,3.111713932532933,2.438279013263313,8.58824403210584,2.2227503786077607,8.77628265348934
5.72,8.763,1.38,3.816255368901327,2.980766681817007,11.892050188691424,2.7114903077050556,12.029327499805953
6.04,11.914,1.717,4.414445503531085,3.4461027436661222,15.207984535558785,3.1318928457253365,15.190422747585222
6.36,15.307,2.156,5.093871193156929,3.9803607885680212,18.60810507072749,3.6160584035215613,18.62113799406397
6.68,18.364,2.514,5.862986829939178,4.5928814226146155,21.932019332669483,4.173234896314389,21.95600425242674
7.0,21.93,2.81,6.730665866466527,5.293977193791849,25.2046227799629,4.813772487243122,25.221509249475712
7.32,26.161,2.873,7.706323905367393,6.094927606752015,28.426716491331035,5.54921062519863,28.442614659466354
7.65,30.984,2.877,8.835622865376186,7.038499614839241,31.69742256988349,6.420874788895088,31.71232694985965
7.97,35.235,2.94,10.059899728562852,8.081578315163524,34.81929846904171,7.390859899914205,34.83327196631544
8.29,39.766,2.858,11.421007857442564,9.265553512444244,37.89298088277392,8.499768640335681,37.90606448080193
8.61,42.338,2.984,12.928238837001821,10.605794260128928,40.91921105369473,9.764941480820431,40.93144284134886
8.93,45.696,3.013,14.590923167243613,12.118417584170407,43.898719879542476,11.204927841708606,43.910134836060415
9.25,49.81,2.881,16.417559390177814,13.819916438120933,46.83222791317902,12.84028585752787,46.842858224437045
9.57,52.293,2.968,18.415645765205422,15.727665539790243,49.72044536259004,14.692449384107274,49.73032073737547
9.94,55.442,2.999,20.948130719627454,18.21339673443576,53.004405706206704,17.132631093253412,53.01344240241077
10.43,60.157,2.926,24.68152436783533,22.00687428225649,57.26349614223259,20.912231525687027,57.27147413793849
10.91,64.337,3.066,28.76807006696796,26.320605409510787,61.33843334335604,25.286598068805574,61.345427338887866
11.4,68.502,3.057,33.37968376874246,31.371460798545062,65.40133279325838,30.504293386621836,65.40737325765384
11.89,72.214,3.112,38.42559147629491,37.09474467222169,69.36859488420906,36.52370992695181,69.37373176551776
12.38,76.013,3.145,43.88380258143857,43.48030383142955,73.24247296585018,43.35722169918112,73.24675638499804
12.86,79.286,3.314,49.597434141275954,50.3372302763188,76.94886303531761,50.815008447241965,76.95236083933676
13.35,82.86,3.383,55.757287949670754,57.879808418703945,80.64431671357362,59.12622442589354,80.64705281924593
13.84,86.172,3.449,62.19126543197304,65.85930324621599,84.25279108078755,68.01170733859904,84.25480992161211
14.33,89.411,3.58,68.83442036329262,74.13356312564568,87.77631971496714,77.29220274280297,87.77767909022201
