α,β,L,id,time,h_sample,strain
0.33827373,0.02090004,14.084778,best,40.45,102.436,jt305
0.36543715,0.02167512,12.898648,001,40.45,102.436,jt305
0.32788038,0.032262646,17.573942,002,40.45,102.436,jt305
0.38198534,0.053718626,16.628614,003,40.45,102.436,jt305
0.35041144,0.033256985,15.829807,004,40.45,102.436,jt305
0.33510616,-0.009036836,9.588731,005,40.45,102.436,jt305
0.3394556,0.0394826,18.074553,006,40.45,102.436,jt305
0.36249262,0.08674176,26.368715,007,40.45,102.436,jt305
0.32132015,0.011391783,13.141375,008,40.45,102.436,jt305
0.338707,0.04396036,19.121767,009,40.45,102.436,jt305
0.36277932,0.041528746,16.626503,010,40.45,102.436,jt305
0.33821788,0.020416645,14.011406,best,41.12,104.752,jt305
0.3400143,-0.00814788,9.90388,001,41.12,104.752,jt305
0.33452478,-0.014438402,7.8778844,002,41.12,104.752,jt305
0.33617446,0.0010592244,10.661478,003,41.12,104.752,jt305
0.4003068,-0.01980027,5.8772926,004,41.12,104.752,jt305
0.33696496,0.052113794,20.982056,005,41.12,104.752,jt305
0.33405676,0.0027751052,10.790876,006,41.12,104.752,jt305
0.34767115,0.017001053,12.747254,007,41.12,104.752,jt305
0.34604052,0.009022352,11.666222,008,41.12,104.752,jt305
0.31693542,0.0019320553,11.985599,009,41.12,104.752,jt305
0.32149577,0.03327684,18.174215,010,41.12,104.752,jt305
0.33837894,0.020689618,14.046183,best,41.78,106.611,jt305
0.366327,0.019489175,11.966314,001,41.78,106.611,jt305
0.42101628,0.013727907,9.188434,002,41.78,106.611,jt305
0.33259958,0.0028704114,10.82901,003,41.78,106.611,jt305
0.3639473,0.030899318,14.030829,004,41.78,106.611,jt305
0.34848395,0.03238233,15.066966,005,41.78,106.611,jt305
0.32399955,-0.008075615,10.546899,006,41.78,106.611,jt305
0.3335018,0.008060585,11.888053,007,41.78,106.611,jt305
0.37028697,0.009702191,10.373991,008,41.78,106.611,jt305
0.3743366,0.053105377,17.653887,009,41.78,106.611,jt305
0.32089865,0.028143587,16.275711,010,41.78,106.611,jt305
0.3383689,0.020665692,14.042499,best,42.44,108.289,jt305
