time,nutrient_n,logistic_n,interface_n,logistic,interface
0.0,0.2,0.2,0.2,0.2,0.2
0.5,0.36041753605563687,0.31928802353118674,0.2715635270877145,0.2518314269653491,0.28499990464292696
1.0,0.6154959986154326,0.49454127378041984,0.3709861807316045,0.31706967078373305,0.4061247626457485
1.5,1.0010252618402482,0.7445889113551192,0.5098985418291865,0.3991679508945289,0.5787274751769251
2.0,1.5574826455894821,1.0916797201731836,0.7050936157533438,0.5024591633028141,0.824684403739046
2.5,2.3277493597551784,1.5611890471062442,0.9809209975431137,0.6323765549921915,1.1751708514042494
3.0,3.35428621992904,2.18102202342659,1.3728989926794062,0.7957261729560657,1.6746274727420862
3.5,4.676042883147992,2.9808271740458903,1.9331325718017454,1.0010139985820987,2.3863073605961813
4.0,6.325516665198037,3.990762449605296,2.7382201052887876,1.2588620554217123,3.400524347907778
4.5,8.326565377247777,5.24041293233321,3.901998663101684,1.582498763393641,4.845649832096802
5.0,10.692417339082414,6.757096076508905,5.593134404654809,1.9883143975475448,6.905132442329902
5.5,13.425292604837468,8.564937509682727,8.065221126486437,2.4966666784415503,9.839500428317454
6.0,16.51625441939636,10.682935891026489,11.5923940926307,3.132466288617568,14.11942060813501
6.5,19.945906428084147,13.124559632817116,17.040185578195523,3.9263127011759806,19.508441519836076
7.0,23.686317804017083,15.896550132647322,23.082317078787014,4.915370950097159,24.70468825509508
7.5,27.702337045954014,18.998273758311587,28.8446173354917,6.143991698799966,29.774879131220974
8.0,31.95361285206016,22.422148704778877,34.383399740668416,7.665311164072161,34.71674814492808
8.5,36.396925176191566,26.153738501863796,39.7101978825814,9.54102753659617,39.53356024041756
9.0,40.98803918942875,30.171962959095822,44.83576974618991,11.84100698853872,44.22846612295617
9.5,45.68281697271641,34.45028175172359,49.77036025745876,14.6444043869582,48.804537833966286
10.0,50.439000498865354,38.95773870867657,54.52370235324881,18.03429793901135,53.26477712337523
10.5,55.217351424406424,43.66056383391132,59.105016981316886,22.09393282083926,57.61211544961547
11.0,59.98231674842794,48.52244391139495,63.523013100316014,26.90213413830025,61.84941397962441
11.5,64.70227755282222,53.5062223864345,67.78588774767738,32.52299994364368,65.97946358884444
12.0,69.35004438625315,58.57473766668061,71.90134370885553,38.9887566402148,70.00498486122329
12.5,73.90259564771272,63.692380763563634,75.87657673605008,46.29685039780371,73.92862808921328
13.0,78.34117453522147,68.82550121109938,79.71839525507083,54.39118258561916,77.75297327377214
13.5,82.65128418648136,73.94242399847717,83.43327168901634,63.15548394114885,81.480532141845
14.0,86.82215095953818,79.01435259265335,87.02734245827378,72.42153202304128,85.11376455427063
14.5,90.84611017942818,84.01598324612256,90.50640798051917,81.97204477912443,88.65504684771521
15.0,94.71819340227432,88.92510676974064,93.87593746007182,91.55716342216415,92.10669505012498
15.5,98.43594029671674,93.72266389610077,97.14121443400983,100.92098176808018,95.47097246779103
16.0,101.99939864391283,98.39274527953363,100.30701518351104,109.84306991920893,98.75008968534942
16.5,105.4108369479368,102.92258882997038,103.37779093806806,118.14183965526196,101.94620456578095
17.0,108.6733672834619,107.30206797128828,106.35780675696951,125.67657275297418,105.06142225041148
17.5,111.79113698894975,111.52393718364716,109.25114152930006,132.37769718909445,108.09779515891157
18.0,114.76912880527026,115.58316450003049,112.06168797394055,138.23255358763058,111.05732298929681
18.5,117.61313583656379,119.4763795339853,114.7931526395678,143.26154698011902,113.94195271792753
19.0,120.32976155024097,123.20187347962218,117.44905590465473,147.5183126995648,116.75357869454349
19.5,122.92622833848478,126.75959911161513,120.0327319774704,151.09472102375355,119.49407784370584
20.0,125.40924079424539,130.15117078520234,122.54732889607968,154.08306544062427,122.16525382651663
20.5,127.78540521578076,133.37931746160183,124.99583751845405,156.5338417177868,124.76883504002814
21.0,130.06135578389905,136.4472416232818,127.38097250355243,158.50931336982828,127.30651359154498
21.5,132.2437355386999,139.35907523158266,129.70523463558135,160.08630198099047,129.77994529862428
22.0,134.33919637957442,142.11929811363095,131.97103155374035,161.35618720516993,132.19074968907546
22.5,136.35439733865263,144.73273195319112,134.18067800462183,162.4079633889236,134.5405100009604
23.0,138.2955973508585,147.2045402906655,136.33639584221112,163.25841068841697,136.83077318259342
23.5,140.16827999443325,149.5402285230945,138.44031402788636,163.93791620283523,139.06304989254116
24.0,141.9777189368633,151.74564390415608,140.49446863041865,164.4786919493275,141.23881449962278
24.5,143.72900490772864,153.82679635209783,142.500802825972,164.9106214443137,143.35950508290975
25.0,145.42704569870278,155.78922266093528,144.46116689810333,165.26034594214406,145.42652343172605
25.5,147.07656616355294,157.638461846645,146.37731823776227,165.54167149751135,147.44123504564809
26.0,148.682107060962,159.37995999794944,148.25097866529728,165.76347187411275,149.40496913450443
26.5,150.24779341380588,161.01905474375982,150.08371555165292,165.9354870353824,151.3190186183763
27.0,151.777153027209,162.5609752531757,151.87684433704098,166.0683294893354,153.1846408218162
27.5,153.27352322789974,164.01084223548543,153.6316426286662,166.17348428856755,155.00309029354347
28.0,154.74008597828893,165.37366794016572,155.34935415398323,166.26181892728457,156.77555677332805
28.5,156.17986787646984,166.65435615688182,157.0311887606967,166.33391754844857,158.5031799135249
29.0,157.59574015621826,167.85764665712838,158.67832241676123,166.39109068249593,160.18707629064914
29.5,158.99041868699234,168.9878125758048,160.29189721038145,166.4356144748926,161.82833940537628
30.0,160.36641481990694,170.04887749800497,161.87302135001192,166.469921439534,163.428039682542
30.5,161.72582688315973,171.04471939262893,163.42276916435722,166.49660045874512,164.98722447114224
31.0,163.07056881614412,171.97906840787184,164.94218110237188,166.51839635523,166.50691804433328
31.5,164.40246154219867,172.85550687122387,166.43226373326038,166.53711171020063,167.98812159943157
32.0,165.7232322683435,173.6774692894702,167.89398974647722,166.55259315255967,169.43181325791397
32.5,167.03451448528037,174.44824234869105,169.32829795172697,166.5648281383618,170.8389480654174
33.0,168.33784796739255,175.17096491426173,170.7360930201451,166.57399808598814,172.21045799173928
33.5,169.63467863551142,175.84862803086833,172.11811708824692,166.58047837614626,173.54725193083704
34.0,170.9262911897042,176.48402949273563,173.47499476274922,166.58483835187013,174.85021570082858
34.5,172.2137503796694,177.07964979781286,174.80734217078856,166.58784131852022,176.12021204399198
35.0,173.49805545216182,177.63782010289984,176.1157682034442,166.59044454378338,177.35808062676554
35.5,174.78015726911082,178.16077409149898,177.40087451573805,166.5935509097203,178.56463803974805
36.0,176.06095830762044,178.65064797381535,178.6632555266347,166.5964847214474,179.7406777978086
36.5,177.34131265996936,179.10948048675658,179.9034984190415,166.5989537832148,180.88700608391392
