time,data,α,β,L
0.31,0.2773333333333334,0.0,0.0,0.0
0.67,0.338,0.0,0.0,0.0
1.03,0.30633333333333335,0.0,0.0,0.0
1.38,0.3426666666666667,0.0,0.0,0.0
1.74,0.42300000000000004,0.0,0.0,0.0
2.1,0.37600000000000006,0.0,0.0,0.0
2.46,0.337,0.0,0.0,0.0
2.82,0.408,0.0,0.0,0.0
3.17,0.508,0.0,0.0,0.0
3.53,0.8803333333333333,0.5782265607170785,0.23127450524858867,15.003744311917522
3.97,1.204,0.617053629004172,0.2196887666213749,15.002073130564277
4.42,1.2686666666666666,0.6242503395230519,0.21752784569625355,15.001988582801738
4.86,1.4256666666666666,0.6233810015127975,0.21778191645740805,15.002109980103267
5.3,1.7856666666666667,0.6394073785311024,0.2305926622900833,15.000000475567443
5.74,1.8376666666666666,0.6188576267774886,0.21899047599296217,25.00000006896448
6.18,2.594,0.6236666206319732,0.2176212122937954,25.000000010005113
6.62,2.857333333333333,0.6223276562055863,0.21800386580507394,25.00000147740683
7.07,3.205,0.6187527962246316,0.21902013634860307,25.000002250048126
7.59,3.4073333333333333,0.6110099979566896,0.22119581473638464,24.999985876052317
8.17,3.9606666666666666,0.6035364042114113,0.22326556763934374,25.000001427054674
8.74,4.584666666666666,0.5967725654770676,0.2251143741154558,25.000000220964235
9.31,5.311333333333334,0.590794122861496,0.22673082678543316,24.999999967549567
9.88,5.7443333333333335,0.583578827426791,0.22866130611751853,25.000002868128444
10.45,6.167666666666666,0.575859688350603,0.23070391443664648,25.000000068102562
11.02,6.776000000000001,0.5686935966761263,0.2325811831802837,25.000000022859627
11.59,7.640666666666665,0.562643325584034,0.23415335153562367,24.99999998631879
12.16,8.263,0.5565795051780991,0.23571840357141996,24.999999998222044
12.73,9.294333333333334,0.551430806540488,0.23703972566509446,24.9999999926085
13.3,10.112666666666666,0.5463745788828235,0.23833123372074633,25.000000025737194
13.87,11.469666666666667,0.5422075107183074,0.23939152608101055,24.999999986356364
14.47,12.435333333333332,0.5748904323938554,0.2776492760126665,14.78517792593714
15.04,13.859,0.3614055601893361,8.199969448932331e-13,3.5779882731899355
15.61,15.379,0.35353943112830655,8.006738419369098e-13,3.953809418352469
16.18,16.866666666666667,0.34756770610953447,1.600645962484845e-11,4.294674000369845
16.76,18.624333333333333,0.33800166177998014,2.4735264116194206e-11,4.865487444184475
17.33,20.173,0.32834332684230233,3.903410390198109e-25,5.518974369135296
17.9,22.229666666666663,0.3207205182227341,3.8673066706394155e-11,6.178175703069923
18.47,24.201999999999998,0.3163395876964526,2.676639610455161e-11,6.678515208227827
19.04,26.573666666666668,0.3101871687689182,2.2175835076278761e-13,7.40012579803737
19.61,28.802333333333337,0.30693721212136416,2.2954097146206644e-14,7.892735925531006
20.19,31.414,0.3003487369178354,2.151896181068118e-9,8.849696095494883
20.76,33.613,0.2973713783581984,1.2744735289059618e-57,9.392386274734173
21.33,36.339,0.2926535951119245,1.1842313188284395e-17,10.271566379658056
21.9,39.145,0.288171314128663,3.1956022688909627e-13,11.157257877675537
22.47,41.61433333333334,0.2848194381707413,4.436963118156748e-13,11.88301721559397
