time,data,α,β,L
0.31,0.2773333333333334,0.0,0.0,0.0
0.67,0.338,0.0,0.0,0.0
1.03,0.30633333333333335,0.0,0.0,0.0
1.38,0.3426666666666667,0.0,0.0,0.0
1.74,0.42300000000000004,0.0,0.0,0.0
2.1,0.37600000000000006,0.0,0.0,0.0
2.46,0.337,0.0,0.0,0.0
2.82,0.408,0.0,0.0,0.0
3.17,0.508,0.0,0.0,0.0
3.53,0.8803333333333333,12501.840820869696,12501.493868814316,1416.2527833410074
3.97,1.204,19428.676265726026,19428.27890086364,959.7581145907735
4.42,1.2686666666666666,46464.3038966244,46463.89717413052,2131.4597558748496
4.86,1.4256666666666666,3927.5714931306047,3927.1658940455227,239.54542058948547
5.3,1.7856666666666667,64251.665374303615,64251.25655958737,3253.7939124689046
5.74,1.8376666666666666,49263.94589774034,49263.54603058954,2636.47519627025
6.18,2.594,49642.91560269673,49642.50955728839,258399.40050452293
6.62,2.857333333333333,63172.38381936718,63171.97949557678,2019.6700892943772
7.07,3.205,163058.34246593216,163057.94273327227,4416.364989266525
7.59,3.4073333333333333,128905.66747193935,128905.27765775604,687286.4520774662
8.17,3.9606666666666666,NaN,NaN,NaN
8.74,4.584666666666666,169775.31960308118,169774.9479448898,4954.384211523935
9.31,5.311333333333334,NaN,NaN,NaN
9.88,5.7443333333333335,29485.544436275737,29485.189518754436,48710.676247001684
10.45,6.167666666666666,641749.9745667565,641749.6294109822,48487.51731667508
11.02,6.776000000000001,505241.4151025611,505241.07899014757,15662.798417973945
11.59,7.640666666666665,NaN,NaN,NaN
12.16,8.263,435222.2766396879,435221.9557785864,11943.757947414035
12.73,9.294333333333334,179003.3811125382,179003.06672145732,989738.6723443617
13.3,10.112666666666666,126129.56961452858,126129.26157118341,3928.417826775753
13.87,11.469666666666667,40820.79568792623,40820.49287194165,245531.38836202625
14.47,12.435333333333332,952.4342708171635,952.1370296607822,1780.0438286558147
15.04,13.859,0.36140556019025877,1.8575414775883126e-12,3.5779882732033963
15.61,15.379,0.3535394311292028,1.8139928021824395e-12,3.953809418367109
16.18,16.866666666666667,0.3475677060959821,3.6304752435140936e-14,4.294674000110854
16.76,18.624333333333333,0.3380016617582292,5.608787358350669e-14,4.865487443739578
17.33,20.173,0.3330769681911438,6.2665889337972e-14,5.238577170833121
17.9,22.229666666666663,0.3207205181871906,8.748405969517632e-14,6.178175702210421
18.47,24.201999999999998,0.3163395876721293,6.036981225602011e-14,6.678515207579241
19.04,26.573666666666668,0.31018716876917085,4.9738838837036e-13,7.40012579804484
19.61,28.802333333333337,0.30693721593887374,5.0717000437985345e-14,7.89273562011515
20.19,31.414,0.30051402571759184,8.06181054975232e-29,8.820834529155276
20.76,33.613,NaN,NaN,NaN
21.33,36.339,0.29131568524168455,5.033177718519072e-13,10.454076342602637
21.9,39.145,0.2896506396772384,2.3777915801984807e-26,10.932196752997429
22.47,41.61433333333334,0.286820381730324,7.363347038541621e-13,11.580227916418089
23.05,44.55166666666667,0.2837378574347447,1.0101116652859942e-31,12.298195779598565
23.62,46.42433333333333,0.2830899175243538,9.940908108791647e-20,12.54358552072021
24.19,48.93966666666666,NaN,NaN,NaN
