file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom
bgt127_001.datx,A,0.416666666666667,8976,26812,0,0,11082,50
bgt127_004.datx,A,0.740555555555556,8968,26815,0,0,11076,50
bgt127_007.datx,A,1.06388888888889,8964,26831,0,0,11066,50
bgt127_010.datx,A,1.38777777777778,8961,26845,0,0,11058,50
bgt127_013.datx,A,1.71166666666667,8950,26863,0,0,11043,50
bgt127_016.datx,A,2.03611111111111,8925,26882,0,0,11021,50
bgt127_019.datx,A,2.36,8890,26891,0,0,10999,50
bgt127_022.datx,A,2.68388888888889,8876,26940,0,0,10968,50
bgt127_025.datx,A,3.00833333333333,8828,26966,0,0,10931,50
bgt127_028.datx,A,3.33222222222222,8805,27032,0,0,10886,50
bgt127_031.datx,A,3.65777777777778,8752,27061,0,0,10845,50
bgt127_034.datx,A,3.98166666666667,8711,27124,0,0,10793,50
bgt127_037.datx,A,4.30555555555556,8664,27183,0,0,10740,50
bgt127_040.datx,A,4.62944444444444,8601,27236,0,0,10682,50
bgt127_043.datx,A,4.95388888888889,8533,27301,0,0,10616,50
bgt127_046.datx,A,5.27777777777778,8465,27376,0,0,10544,50
bgt127_049.datx,A,5.72277777777778,8376,27492,0,0,10442,50
bgt127_052.datx,A,6.04277777777778,8298,27585,0,0,10356,50
bgt127_055.datx,A,6.36333333333333,8212,27665,0,0,10273,50
bgt127_058.datx,A,6.68388888888889,8126,27751,0,0,10187,50
bgt127_061.datx,A,7.00388888888889,8026,27841,0,0,10092,50
bgt127_064.datx,A,7.325,7940,27935,0,0,10002,50
bgt127_067.datx,A,7.64555555555556,7867,28043,0,0,9912,50
bgt127_070.datx,A,7.96611111111111,7779,28146,0,0,9816,50
bgt127_073.datx,A,8.28722222222222,7679,28222,0,0,9728,50
bgt127_076.datx,A,8.60777777777778,7597,28326,0,0,9635,50
bgt127_079.datx,A,8.92944444444444,7520,28431,0,0,9544,50
bgt127_082.datx,A,9.25,7433,28523,0,0,9455,50
bgt127_085.datx,A,9.57055555555556,7354,28618,0,0,9368,50
bgt127_088.datx,A,9.94,7242,28716,0,0,9263,50
bgt127_091.datx,A,10.4266666666667,7112,28856,0,0,9128,50
bgt127_094.datx,A,10.9138888888889,6986,29001,0,0,8992,50
bgt127_097.datx,A,11.4011111111111,6858,29140,0,0,8859,50
bgt127_100.datx,A,11.8883333333333,6726,29270,0,0,8728,50
bgt127_103.datx,A,12.3761111111111,6604,29404,0,0,8600,50
bgt127_106.datx,A,12.8633333333333,6483,29531,0,0,8476,50
bgt127_109.datx,A,13.3522222222222,6356,29657,0,0,8349,50
bgt127_112.datx,A,13.8394444444444,6244,29800,0,0,8222,50
bgt127_115.datx,A,14.3261111111111,6126,29930,0,0,8098,50
bgt127_118.datx,A,14.8133333333333,5999,30049,0,0,7975,50
bgt127_121.datx,A,15.3,5881,30179,0,0,7851,50
bgt127_124.datx,A,15.7872222222222,5778,30320,0,0,7729,50
bgt127_127.datx,A,16.2738888888889,5657,30437,0,0,7610,50
bgt127_130.datx,A,16.7622222222222,5548,30568,0,0,7490,50
bgt127_133.datx,A,17.2488888888889,5438,30697,0,0,7370,50
bgt127_136.datx,A,17.7355555555556,5334,30828,0,0,7253,50
bgt127_139.datx,A,18.2211111111111,5222,30953,0,0,7134,50
bgt127_142.datx,A,18.7077777777778,5117,31081,0,0,7018,50
bgt127_145.datx,A,19.195,5005,31206,0,0,6899,50
bgt127_148.datx,A,19.6816666666667,4894,31325,0,0,6784,50
bgt127_151.datx,A,20.1683333333333,4781,31451,0,0,6665,50
bgt127_154.datx,A,20.6555555555556,4667,31574,0,0,6546,50
bgt127_157.datx,A,21.1438888888889,4564,31705,0,0,6429,50
bgt127_160.datx,A,21.6322222222222,4433,31813,0,0,6310,50
bgt127_163.datx,A,22.1194444444444,4313,31918,0,0,6197,50
bgt127_166.datx,A,22.6061111111111,4186,32031,0,0,6077,50
bgt127_169.datx,A,23.0933333333333,4068,32141,0,0,5963,50
bgt127_172.datx,A,23.5688888888889,3960,32333,0,0,5813,50
bgt127_175.datx,A,24.0561111111111,3834,32394,0,0,5720,50
bgt127_178.datx,A,24.5433333333333,3714,32531,0,0,5591,50
bgt127_181.datx,A,25.0311111111111,3598,32615,0,0,5491,50
bgt127_184.datx,A,25.52,3498,32783,0,0,5357,50
bgt127_187.datx,A,26.0077777777778,3371,32771,0,2,5300,50
bgt127_190.datx,A,26.4955555555556,3262,32845,0,6.5,5208,50
bgt127_193.datx,A,26.9833333333333,3155,32915,0,8.5,5120,50
bgt127_196.datx,A,27.4711111111111,3046,32993,0,11,5026,50
bgt127_199.datx,A,27.9594444444444,2937,33055,0,16,4941,50
bgt127_202.datx,A,28.4466666666667,2829,33125,0,20,4852,50
bgt127_205.datx,A,28.935,2721,33196,0,21,4762,50
bgt127_208.datx,A,29.4233333333333,2627,33277,0,24,4675,50
bgt127_211.datx,A,29.9116666666667,2522,33345,0,27,4588,50
bgt127_214.datx,A,30.4011111111111,2413,33414,0,30,4499,50
bgt127_217.datx,A,30.8894444444444,2293,33463,0,32,4415,50
bgt127_220.datx,A,31.3772222222222,2185,33524,0,34,4330,50
bgt127_223.datx,A,31.8655555555556,2073,33581,0,38,4246,50
bgt127_226.datx,A,32.3533333333333,1962,33642,0,40,4160,50
bgt127_229.datx,A,32.8411111111111,1856,33703,0,42,4076,50
bgt127_232.datx,A,33.3288888888889,1745,33746,0,46,3999,50
bgt127_235.datx,A,33.9177777777778,7384,39600,0,49.5,3892,50
bgt127_238.datx,A,34.555,7241,39674,0,52,3783,50
bgt127_241.datx,A,35.235,7101,39764,0,55,3668,50
bgt127_244.datx,A,35.9144444444444,6956,39839,0,58,3558,50
bgt127_247.datx,A,36.5933333333333,6806,39918,0,63,3444,50
