file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom
jt305_001.datx,A,0.214722222222222,10587,30167,0,0,10710,50
jt305_004.datx,A,0.573611111111111,10594,30178,0.4,0.4,10708,50
jt305_007.datx,A,0.931944444444444,10432,30156,0.1,0.1,10638,50
jt305_010.datx,A,1.29138888888889,10507,30175,0,0,10666,50
jt305_013.datx,A,1.64972222222222,10407,30176,0,0,10615,50
jt305_016.datx,A,2.00805555555556,10432,30191,0,0,10620,50
jt305_019.datx,A,2.36694444444444,10479,30202,0,0,10638,50
jt305_022.datx,A,2.72527777777778,10313,30217,0,0,10548,50
jt305_025.datx,A,3.0825,10301,30239,0,0,10531,50
jt305_028.datx,A,3.44083333333333,10298,30275,0,0,10511,50
jt305_031.datx,A,3.88194444444444,10292,30283,0.2,0.4,10504,50
jt305_034.datx,A,4.32361111111111,10285,30315,0.2,0,10485,50
jt305_037.datx,A,4.76472222222222,10278,30329,0.7,0,10474,50
jt305_040.datx,A,5.20583333333333,10235,30360,0,0,10437,50
jt305_043.datx,A,5.64861111111111,10219,30346,0.9,0.6,10436,50
jt305_046.datx,A,6.09027777777778,10206,30376,0,0,10415,50
jt305_049.datx,A,6.5325,10163,30377,1,1,10393,50
jt305_052.datx,A,6.97527777777778,10158,30390,0.6,0,10384,50
jt305_055.datx,A,7.45861111111111,12937,33296,0.5,0,10320,50
jt305_058.datx,A,8.03027777777778,13012,33307,1.5,0,10352,50
jt305_061.datx,A,8.60083333333333,12924,33319,0,0,10302,50
jt305_064.datx,A,9.17138888888889,12965,33342,0,0,10311,50
jt305_067.datx,A,9.7425,12815,33351,0,0,10232,50
jt305_070.datx,A,10.3136111111111,12807,33367,0,0,10220,50
jt305_073.datx,A,10.8830555555556,12878,33391,0.1,0,10243,50
jt305_076.datx,A,11.4541666666667,12876,33443,0.2,0,10216,50
jt305_079.datx,A,12.0258333333333,12835,33466,0,0,10184,50
jt305_082.datx,A,12.5969444444444,12798,33503,0,0,10147,50
jt305_085.datx,A,13.1680555555556,12763,33549,0,0,10107,50
jt305_088.datx,A,13.7380555555556,12725,33591,0,0,10067,50
jt305_091.datx,A,14.3336111111111,12686,33635,0,0,10025,50
jt305_094.datx,A,14.9052777777778,12643,33678,0,0,9982,50
jt305_097.datx,A,15.4775,12593,33722,0,0,9935,50
jt305_100.datx,A,16.0491666666667,12541,33785,0.1,0.5,9878,50
jt305_103.datx,A,16.6208333333333,12489,33835,0,0,9827,50
jt305_106.datx,A,17.1913888888889,12424,33891,0,0,9766,50
jt305_109.datx,A,17.7636111111111,12360,33953,0,0,9703,50
jt305_112.datx,A,18.3352777777778,12292,34020,0,0,9636,50
jt305_115.datx,A,18.9069444444444,12220,34090,0,0,9565,50
jt305_118.datx,A,19.4786111111111,12133,34149,0,0,9492,50
jt305_121.datx,A,20.0508333333333,12037,34225,0,0,9406,50
jt305_124.datx,A,20.6241666666667,11943,34301,0,0,9321,50
jt305_127.datx,A,21.1947222222222,11841,34368,0,0,9236,50
jt305_130.datx,A,21.7663888888889,11750,34447,0,0,9151,50
jt305_133.datx,A,22.3380555555556,11651,34524,0,0,9063,50
jt305_136.datx,A,22.9097222222222,11554,34589,0,0,8982,50
jt305_139.datx,A,23.4813888888889,11461,34671,0,0,8895,50
jt305_142.datx,A,24.0519444444444,11360,34746,0,0,8807,50
jt305_145.datx,A,24.6236111111111,11252,34815,0,0,8718,50
jt305_148.datx,A,25.1952777777778,11147,34904,0,0,8621,50
jt305_151.datx,A,25.7675,11030,34967,0,0,8531,50
jt305_154.datx,A,26.3386111111111,10916,35067,0,0,8424,50
jt305_157.datx,A,26.9102777777778,10810,35128,0.5,1,8341,50
jt305_160.datx,A,27.4836111111111,10701,35195,0,0,8253,50
jt305_163.datx,A,28.0558333333333,10595,35259,0,1.5,8168,50
jt305_166.datx,A,28.6286111111111,10493,35304,0,1,8094,50
jt305_169.datx,A,29.2002777777778,10403,35374,0,0,8014,50
jt305_172.datx,A,29.7725,10326,35445,0,0,7940,50
jt305_175.datx,A,30.3452777777778,10246,35500,0,1,7873,50
jt305_178.datx,A,30.9163888888889,10163,35566,0,0,7798,50
jt305_181.datx,A,31.5202777777778,10070,35646,0,0,7712,50
jt305_184.datx,A,32.1863888888889,9973,35736,0,0,7618,50
jt305_187.datx,A,32.8475,9875,35819,0,3,7528,50
jt305_190.datx,A,33.5086111111111,9781,35917,0,0,7432,50
jt305_193.datx,A,34.1702777777778,9687,36020,0,1,7333,50
jt305_196.datx,A,34.8302777777778,9587,36111,0,1,7238,50
jt305_199.datx,A,35.4913888888889,9480,36203,0,-1.5,7138,50
jt305_202.datx,A,36.1530555555556,9382,36296,0,3,7043,50
jt305_205.datx,A,36.8141666666667,9294,36538,0,-2,6878,50
jt305_208.datx,A,37.4763888888889,9165,36452,0,0,6856,50
jt305_211.datx,A,38.1386111111111,9048,36518,0,0,6765,50
jt305_214.datx,A,38.8002777777778,8900,36582,0,0,6659,50
jt305_217.datx,A,39.4608333333333,8785,36661,0,0,6562,50
jt305_220.datx,A,40.1230555555556,8651,36752,0,0,6449,50
jt305_223.datx,A,40.7847222222222,8537,36834,0,0,6351,50
jt305_226.datx,A,41.4463888888889,8428,36936,0,0,6246,50
jt305_229.datx,A,42.1086111111111,8332,37019,0,2,6156,50
jt305_232.datx,A,42.7419444444444,8242,37123,0,0,6059,50
jt305_235.datx,A,43.4152777777778,8158,37221,0,0,5968,50
jt305_238.datx,A,44.0769444444444,8084,37312,0,0,5886,50
jt305_241.datx,A,44.7402777777778,7994,37391,0,2,5801,50
jt305_244.datx,A,45.4025,7876,37455,0,0,5710,50
jt305_247.datx,A,46.0802777777778,9472,39237,0,2,5617,50
jt305_250.datx,A,46.7808333333333,9342,39306,0,1,5518,50
jt305_253.datx,A,47.4819444444444,9193,39369,0,0,5412,50
jt305_256.datx,A,48.1825,9052,39467,0,0,5292,50
jt305_259.datx,A,48.8841666666667,8925,39560,0,2,5182,50
jt305_262.datx,A,49.5852777777778,8812,39677,0,2,5067,50
jt305_265.datx,A,50.3058333333333,8699,39791,0,0,4954,50
jt305_268.datx,A,51.0547222222222,8591,39928,0,1,4831,50
jt305_271.datx,A,51.8013888888889,8490,40042,0,0,4724,50
jt305_274.datx,A,52.5508333333333,8378,40137,0,0,4620,50
jt305_277.datx,A,53.3002777777778,8274,40241,0,0,4516,50
jt305_280.datx,A,54.3475,8109,40436,0,0,4336,50
jt305_283.datx,A,55.2119444444444,9687,42300,0,2,4193,50
jt305_286.datx,A,56.1347222222222,9561,42427,0,0,4067,50
jt305_289.datx,A,57.0580555555556,9419,42552,0,0,3933,50
jt305_292.datx,A,57.9808333333333,9286,42658,0,0,3814,50
jt305_295.datx,A,58.9047222222222,9167,42772,0,0,3697,50
jt305_298.datx,A,59.8286111111111,9056,42877,0,5,3589,50
jt305_301.datx,A,60.7541666666667,8960,42990,0,0,3485,50
jt305_304.datx,A,61.6791666666667,8852,43062,0,0,3395,50
jt305_307.datx,A,62.6058333333333,8725,43186,0,5,3269,50
jt305_310.datx,A,63.5308333333333,8602,43289,0,0,3156,50
jt305_313.datx,A,64.4536111111111,8478,43414,0,0,3032,50
jt305_316.datx,A,65.3780555555556,8338,43527,0,0,2905,50
jt305_319.datx,A,66.3025,8192,43634,0,1,2779,50
jt305_322.datx,A,67.2280555555556,8035,43722,0,0,2656,50
jt305_325.datx,A,68.1858333333333,7876,43824,0,0,2526,50
jt305_328.datx,A,69.2130555555556,7722,43921,0,0,2400,50
jt305_331.datx,A,70.2391666666667,7560,44039,0,1,2260,50
jt305_334.datx,A,71.2669444444444,7387,44168,0,0,2109,50
jt305_337.datx,A,72.3291666666667,7221,44289,0,4,1966,50
jt305_340.datx,A,73.2897222222222,7066,44404,0,0,1831,50
jt305_343.datx,A,74.2497222222222,6901,44522,0,0,1689,50
jt305_346.datx,A,75.2086111111111,6755,44662,0,0,1546,50
jt305_349.datx,A,76.1697222222222,6582,44798,0,0,1392,50
jt305_352.datx,A,77.1297222222222,6470,44929,0,0,1270,50
jt305_355.datx,A,78.0902777777778,6367,45030,0,0,1168,50
jt305_358.datx,A,79.2941666666667,6212,45138,0,0,1037,50
jt305_361.datx,A,80.2541666666667,6096,45239,0,0,928,50
jt305_364.datx,A,81.2147222222222,5974,45304,0,2,835,50
jt305_367.datx,A,82.1758333333333,5838,45372,0,0,733,50
jt305_370.datx,A,83.1358333333333,5717,45452,0,0,632,50
jt305_373.datx,A,84.0969444444444,5584,45557,0,0,513,50
