file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom
pyeast_001.datx,A,0.356944444444444,5337,27356,0,0,3740,50
pyeast_004.datx,A,0.690277777777778,5357,27362,0,0,3747,50
pyeast_007.datx,A,1.02305555555556,5375,27353,0.6,0.2,3761,50
pyeast_010.datx,A,1.35805555555556,5387,27389,0.6,0.4,3749,50
pyeast_013.datx,A,1.69083333333333,5389,27395,1,0.3,3747,50
pyeast_016.datx,A,2.02416666666667,5378,27400,0.8,0,3739,50
pyeast_019.datx,A,2.35805555555556,5385,27422,0.9,0.3,3731,50
pyeast_022.datx,A,2.69138888888889,5379,27421,0.7,0.2,3729,50
pyeast_025.datx,A,3.02583333333333,5368,27423,0.4,0.6,3722,50
pyeast_028.datx,A,3.35916666666667,5363,27422,0.4,0.2,3720,50
pyeast_031.datx,A,3.69194444444444,5351,27435,1.3,0.3,3708,50
pyeast_034.datx,A,4.02638888888889,5345,27445,1.5,0,3700,50
pyeast_037.datx,A,4.37583333333333,5343,27449,1.5,0,3697,50
pyeast_040.datx,A,4.79194444444445,5323,27467,1.5,0,3678,50
pyeast_043.datx,A,5.20972222222222,5323,27476,2,0,3673,50
pyeast_046.datx,A,5.62638888888889,5312,27483,1.5,0,3664,50
pyeast_049.datx,A,6.04361111111111,5286,27491,2,0,3647,50
pyeast_052.datx,A,6.46027777777778,5275,27511,2,0,3632,50
pyeast_055.datx,A,6.87638888888889,5261,27523,4,0,3619,50
pyeast_058.datx,A,7.29416666666667,5242,27533,4,0,3604,50
pyeast_061.datx,A,7.71194444444445,5226,27547,4,0,3589,50
pyeast_064.datx,A,8.12861111111111,5205,27559,4,0,3573,50
pyeast_067.datx,A,8.54638888888889,5181,27580,4,0,3550,50
pyeast_070.datx,A,8.9625,5165,27591,4.5,0,3537,50
pyeast_073.datx,A,9.37916666666667,5138,27615,5.5,0,3511,50
pyeast_076.datx,A,9.79638888888889,5115,27634,6.5,0,3490,50
pyeast_079.datx,A,10.2130555555556,5090,27657,7.5,0,3466,50
pyeast_082.datx,A,10.6297222222222,5057,27670,7,0,3443,50
pyeast_085.datx,A,11.0475,5035,27687,7.5,0,3424,50
pyeast_088.datx,A,11.4641666666667,5009,27715,7.5,0,3397,50
pyeast_091.datx,A,11.8808333333333,4993,27749,7.5,0,3372,50
pyeast_094.datx,A,12.2975,4957,27767,8,0,3345,50
pyeast_097.datx,A,12.7136111111111,4923,27791,8.5,0,3316,50
pyeast_100.datx,A,13.1313888888889,4898,27826,8.5,0,3286,50
pyeast_103.datx,A,13.5480555555556,4871,27855,8.5,0,3258,50
pyeast_106.datx,A,13.9652777777778,4840,27893,9,0,3223,50
pyeast_109.datx,A,14.3830555555556,4815,27923,9.5,0,3196,50
pyeast_112.datx,A,14.7997222222222,4779,27956,9,0,3161,50
pyeast_115.datx,A,15.2163888888889,4750,27977,8.5,0,3136,50
pyeast_118.datx,A,15.6341666666667,4697,28003,8.5,0,3097,50
pyeast_121.datx,A,16.0508333333333,4657,28050,8.5,0,3053,50
pyeast_124.datx,A,16.4680555555556,4610,28088,8.5,0,3011,50
pyeast_127.datx,A,16.8858333333333,4558,28107,10,0,2975,50
pyeast_130.datx,A,17.3030555555556,4516,28154,5,0,2931,50
pyeast_133.datx,A,17.7197222222222,4465,28206,1,0,2879,50
pyeast_136.datx,A,18.1402777777778,4424,28262,3,0,2831,50
pyeast_139.datx,A,18.5569444444444,4393,28313,3,0,2790,50
pyeast_142.datx,A,18.9858333333333,4315,28320,3,0,2747,50
pyeast_145.datx,A,19.4341666666667,4255,28382,5,0,2686,50
pyeast_148.datx,A,19.8819444444444,4190,28436,0,0,2627,50
pyeast_151.datx,A,20.3313888888889,4130,28486,0,0,2572,50
