file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom
aerobicyeast_001.datx,A,0.611111111111111,1711,4777,0,0,1717,10
aerobicyeast_004.datx,A,0.851111111111111,1707,4776,0,0,1715,10
aerobicyeast_007.datx,A,1.09111111111111,1709,4778,0,0,1715,10
aerobicyeast_010.datx,A,1.32944444444444,1709,4778,0,0,1715,10
aerobicyeast_013.datx,A,1.56944444444444,1707,4779,0,0,1714,10
aerobicyeast_016.datx,A,1.80944444444444,1708,4780,0,0,1714,10
aerobicyeast_019.datx,A,2.04888888888889,1707,4785,0,0,1711,10
aerobicyeast_022.datx,A,2.28944444444444,1707,4787,0,0,1710,10
aerobicyeast_025.datx,A,2.52888888888889,1706,4787,0,0,1709,10
aerobicyeast_028.datx,A,2.76833333333333,1703,4789,0,0,1707,10
aerobicyeast_031.datx,A,3.00666666666667,1705,4792,0,0,1706,10
aerobicyeast_034.datx,A,3.24611111111111,1703,4794,0,0,1704,10
aerobicyeast_037.datx,A,3.48611111111111,1702,4795,0,0,1703,10
aerobicyeast_040.datx,A,3.72555555555556,1703,4799,0,0,1702,10
aerobicyeast_043.datx,A,3.965,1700,4799,0,0,1700,10
aerobicyeast_046.datx,A,4.20555555555556,1699,4804,0,0,1697,10
aerobicyeast_049.datx,A,4.445,1698,4806,0,0,1696,10
aerobicyeast_052.datx,A,4.68333333333333,1699,4807,0,0,1696,10
aerobicyeast_055.datx,A,4.92277777777778,1698,4815,0,0,1691,10
aerobicyeast_058.datx,A,5.16277777777778,1694,4815,0,0,1689,10
aerobicyeast_061.datx,A,5.45388888888889,1692,4818,0,0,1687,10
aerobicyeast_064.datx,A,5.69333333333333,1691,4820,0,0,1685,10
aerobicyeast_067.datx,A,5.93277777777778,1689,4823,0,0,1683,10
aerobicyeast_070.datx,A,6.17277777777778,1689,4830,0,0,1679,10
aerobicyeast_073.datx,A,6.41222222222222,1686,4832,0,0,1677,10
aerobicyeast_076.datx,A,6.65166666666667,1683,4835,0,0,1674,10
aerobicyeast_079.datx,A,6.89,1679,4836,0,0,1671,10
aerobicyeast_082.datx,A,7.13055555555556,1675,4842,0,0,1666,10
aerobicyeast_085.datx,A,7.37055555555556,1675,4846,0,0,1664,10
aerobicyeast_088.datx,A,7.61,1672,4852,0,0,1660,10
