file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom
bh1514_001.datx,A,0.711666666666667,3262,22871,0,0,9195,50
bh1514_004.datx,A,1.07444444444444,3250,22897,0,0,9176,50
bh1514_007.datx,A,1.43722222222222,3219,22907,0,-1,9156,50
bh1514_010.datx,A,1.8,3189,22940,1,-1,9124,50
bh1514_013.datx,A,2.16277777777778,3141,22964,1,-1,9088,50
bh1514_016.datx,A,2.525,3102,23017,1.5,-1,9042,50
bh1514_019.datx,A,2.88777777777778,3046,23039,1.5,0,9003,50
bh1514_022.datx,A,3.25055555555556,2989,23121,2,0,8934,50
bh1514_025.datx,A,3.61333333333333,2919,23181,0,3,8869,50
bh1514_028.datx,A,3.97555555555556,2825,23286,0,0,8769,50
bh1514_031.datx,A,4.34,2726,23372,8,5,8677,50
bh1514_034.datx,A,4.70277777777778,2439,23453,-5,6,8493,50
bh1514_037.datx,A,5.14888888888889,2489,23535,0,0,8477,50
bh1514_040.datx,A,5.59444444444444,2389,23631,3,9,8379,50
bh1514_043.datx,A,6.04055555555556,2312,23744,3,8,8284,50
bh1514_046.datx,A,6.48666666666667,2242,23797,0,0,8222,50
bh1514_049.datx,A,6.93388888888889,2157,23931,0,3,8113,50
bh1514_052.datx,A,7.37944444444444,2103,23995,7,0,8054,50
bh1514_055.datx,A,7.82611111111111,1997,24064,-12,0,7966,50
bh1514_058.datx,A,8.27222222222222,1960,24148,15,0,7906,50
bh1514_061.datx,A,8.71833333333333,1910,24223,14,0,7843,50
bh1514_064.datx,A,9.16444444444445,1807,24298,1,0,7754,50
bh1514_067.datx,A,9.63666666666667,4650,27235,18,0,7707,50
bh1514_070.datx,A,10.1566666666667,4498,27320,15,0,7589,50
bh1514_073.datx,A,10.6755555555556,4411,27519,15,0,7446,50
bh1514_076.datx,A,11.1961111111111,4174,27645,0,0,7264,50
bh1514_079.datx,A,11.7166666666667,4212,27628,9,0,7292,50
bh1514_082.datx,A,12.2355555555556,4108,27678,3,15,7215,50
bh1514_085.datx,A,12.7555555555556,4001,27783,0,0,7109,50
bh1514_088.datx,A,13.2744444444444,3951,27870,0,0,7040,50
bh1514_091.datx,A,13.7944444444444,3624,27945,-2,0,6839,50
bh1514_094.datx,A,14.315,3719,28069,0,0,6825,50
bh1514_097.datx,A,14.8338888888889,3619,28164,0,0,6727,50
bh1514_100.datx,A,15.3538888888889,3523,28280,0,15,6621,50
bh1514_103.datx,A,15.8766666666667,3414,28328,0,0,6543,50
bh1514_106.datx,A,16.4305555555556,3301,28439,0,0,6431,50
bh1514_109.datx,A,16.9838888888889,3199,28536,0,0,6331,50
bh1514_112.datx,A,17.5361111111111,3098,28667,0,0,6215,50
bh1514_115.datx,A,18.09,2986,28785,0,0,6100,50
bh1514_118.datx,A,18.6433333333333,2866,28895,0,0,5985,50
bh1514_121.datx,A,19.2472222222222,2757,29046,10,0,5855,50
bh1514_124.datx,A,21.0233333333333,2408,29333,0,10,5537,50
bh1514_127.datx,A,21.615,2277,29451,10,5,5413,50
bh1514_130.datx,A,22.2066666666667,2093,29560,10,0,5266,50
bh1514_133.datx,A,22.7988888888889,2032,29683,-10,-10,5174,50
bh1514_136.datx,A,23.4022222222222,3645,31503,10,20,5071,50
bh1514_139.datx,A,24.0288888888889,3485,31660,0,20,4912,50
bh1514_142.datx,A,24.6561111111111,3390,31822,0,0,4784,50
bh1514_145.datx,A,25.2833333333333,3280,31817,0,-3,4731,50
bh1514_148.datx,A,25.9116666666667,3154,32008,-5,-8,4573,50
bh1514_151.datx,A,26.5383333333333,3030,32148,0,0,4441,50
bh1514_154.datx,A,27.1644444444444,2896,32204,5,0,4346,50
bh1514_157.datx,A,27.7911111111111,2768,32380,0,0,4194,50
bh1514_160.datx,A,28.4177777777778,2646,32468,0,0,4089,50
bh1514_163.datx,A,29.045,2523,32580,0,0,3971,50
bh1514_166.datx,A,29.6716666666667,2402,32742,5,0,3830,50
bh1514_169.datx,A,30.3138888888889,4006,34613,0,0,3696,50
bh1514_172.datx,A,30.975,3884,34721,12,0,3581,50
bh1514_175.datx,A,31.6366666666667,3746,34852,0,0,3447,50
bh1514_178.datx,A,32.2983333333333,3619,34867,5,0,3376,50
bh1514_181.datx,A,32.9594444444444,3475,34972,0,0,3251,50
bh1514_184.datx,A,33.6222222222222,3384,35151,0,0,3116,50
bh1514_187.datx,A,34.2844444444444,3254,35295,0,-5,2979,50
bh1514_190.datx,A,34.9738888888889,4857,37133,0,0,2862,50
bh1514_193.datx,A,35.7166666666667,4701,37342,0,0,2679,50
bh1514_196.datx,A,36.46,4558,37466,0,0,2546,50
bh1514_199.datx,A,37.2022222222222,4413,37586,-5,0,2413,50
bh1514_202.datx,A,37.9461111111111,4268,37657,0,0,2305,50
bh1514_205.datx,A,38.6883333333333,4140,37774,0,0,2183,50
bh1514_208.datx,A,39.4327777777778,4013,38089,0,-5,1962,50
bh1514_211.datx,A,40.175,3858,38151,0,15,1853,50
bh1514_214.datx,A,40.9183333333333,3716,38213,-5,10,1751,50
bh1514_217.datx,A,41.6611111111111,3577,38351,0,0,1613,50
bh1514_220.datx,A,42.4038888888889,3443,38470,5,0,1486,50
bh1514_223.datx,A,43.1455555555556,3307,38658,0,0,1324,50
bh1514_226.datx,A,43.8877777777778,3171,38797,0,10,1187,50
bh1514_229.datx,A,44.6294444444444,3047,38904,0,0,1071,50
bh1514_232.datx,A,45.3722222222222,2637,38754,0,0,941,50
bh1514_235.datx,A,46.1177777777778,2793,39128,15,0,832,50
bh1514_238.datx,A,46.8588888888889,2596,39269,0,0,663,50
bh1514_241.datx,A,47.5988888888889,1774,38679,0,5,547,50
bh1514_244.datx,A,48.3388888888889,1018,38064,-10,0,477,50
bh1514_247.datx,A,49.0833333333333,2280,39680,0,0,300,50
bh1514_002.datx,B,0.778333333333333,3205,24524,0,0,9090,50
bh1514_005.datx,B,1.14111111111111,3185,24537,0,0,9074,50
bh1514_008.datx,B,1.50388888888889,3165,24564,0.2,0.2,9050,50
bh1514_011.datx,B,1.86666666666667,3129,24594,0.4,0.4,9017,50
