file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom
ea387_001.datx,A,0.805555555555556,2998,25781,0,0,11108,50
ea387_004.datx,A,1.23166666666667,2997,25796,0.5,0,11100,50
ea387_007.datx,A,1.65888888888889,2981,25812,0.5,0,11084,50
ea387_010.datx,A,2.08388888888889,2954,25853,0.5,0,11050,50
ea387_013.datx,A,2.51,2901,25929,0.5,0,10986,50
ea387_016.datx,A,2.93555555555556,2846,25996,0.5,0,10925,50
ea387_019.datx,A,3.36055555555556,2763,26073,0,0,10845,50
ea387_022.datx,A,3.78611111111111,2670,26173,0,0,10748,50
ea387_025.datx,A,4.22055555555556,4281,28018,0,0,10631,50
ea387_028.datx,A,4.66666666666667,4171,28131,0,0,10520,50
ea387_031.datx,A,5.11444444444444,4039,28251,0,0,10394,50
ea387_034.datx,A,5.56111111111111,3914,28390,0,0,10262,50
ea387_037.datx,A,6.00888888888889,3786,28510,0,0,10138,50
ea387_040.datx,A,6.45833333333333,3665,28632,0,0,10016,50
ea387_043.datx,A,6.90611111111111,3538,28759,0,0,9889,50
ea387_046.datx,A,7.35444444444445,3399,28893,0,0,9753,50
ea387_049.datx,A,7.805,3281,29026,0,0,9627,50
ea387_052.datx,A,8.25111111111111,3155,29145,0,0,9505,50
ea387_055.datx,A,8.71555555555556,3043,29276,0,0,9383,50
ea387_058.datx,A,9.20611111111111,2912,29410,0,0,9251,50
ea387_061.datx,A,9.7,2777,29550,0,0,9113,50
ea387_064.datx,A,10.1922222222222,2648,29679,0,0,8984,50
ea387_067.datx,A,10.6861111111111,2520,29816,0,0,8852,50
ea387_070.datx,A,11.1961111111111,5276,32819,0,0,8728,50
ea387_073.datx,A,11.7327777777778,5144,32972,0,0,8586,50
ea387_076.datx,A,12.2666666666667,5016,33114,0,0,8451,50
ea387_079.datx,A,12.8011111111111,4887,33249,0,0,8319,50
ea387_082.datx,A,13.3355555555556,4755,33387,0,0,8184,50
ea387_085.datx,A,13.8694444444444,4633,33518,0,0,8057,50
ea387_088.datx,A,14.4038888888889,4500,33656,0,0,7922,50
ea387_091.datx,A,14.9383333333333,4372,33797,0,0,7787,50
ea387_094.datx,A,15.4722222222222,4263,33924,0,0,7669,50
ea387_097.datx,A,16.0066666666667,4127,34055,0,0,7536,50
ea387_100.datx,A,16.5266666666667,4016,34189,0,0,7413,50
ea387_103.datx,A,17.0994444444444,3873,34331,0,0,7271,50
ea387_106.datx,A,17.6733333333333,3747,34463,0,0,7142,50
ea387_109.datx,A,18.2461111111111,3601,34605,0,0,6998,50
ea387_112.datx,A,18.8188888888889,3476,34746,0,0,6865,50
ea387_115.datx,A,19.3927777777778,3347,34892,0,0,6727,50
ea387_118.datx,A,19.9655555555556,3219,35034,0,0,6592,50
ea387_121.datx,A,20.5394444444444,3075,35168,0,0,6453,50
ea387_124.datx,A,21.1116666666667,2958,35313,0,0,6322,50
ea387_127.datx,A,21.6855555555556,2826,35459,0,0,6183,50
ea387_130.datx,A,22.2611111111111,2680,35602,0,0,6039,50
ea387_133.datx,A,22.8338888888889,2556,35745,0,0,5905,50
ea387_136.datx,A,23.4061111111111,2428,35905,0,0,5761,50
ea387_139.datx,A,23.9788888888889,2300,36048,0,0,5626,50
ea387_142.datx,A,24.5522222222222,2173,36183,0,0,5495,50
