file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom
cc117_001.datx,A,0.561666666666667,4490,20734,0,0,8878,50
cc117_004.datx,A,0.973333333333333,4507,20758,0,0,8874,50
cc117_007.datx,A,1.38388888888889,4519,20772,0,0,8873,50
cc117_010.datx,A,1.79555555555556,4522,20788,0,0,8867,50
cc117_013.datx,A,2.20666666666667,4509,20815,0,0,8847,50
cc117_016.datx,A,2.61833333333333,4487,20854,0,0,8816,50
cc117_019.datx,A,3.03055555555556,4455,20904,0,0,8775,50
cc117_022.datx,A,3.44166666666667,4389,20940,0,0,8724,50
cc117_025.datx,A,3.85555555555556,4329,21014,0,0,8657,50
cc117_028.datx,A,4.26666666666667,4249,21119,0,0,8565,50
cc117_031.datx,A,4.67833333333333,4108,21189,0,0,8459,50
cc117_034.datx,A,5.08833333333333,4035,21310,0,0,8362,50
cc117_037.datx,A,5.5,3939,21411,0,0,8264,50
cc117_040.datx,A,5.91166666666667,3831,21535,0,0,8148,50
cc117_043.datx,A,6.32333333333333,3719,21643,0,0,8038,50
cc117_046.datx,A,6.73555555555556,3612,21812,0,0,7900,50
cc117_049.datx,A,7.16333333333333,3498,21841,0,0,7828,50
cc117_052.datx,A,7.62944444444444,3401,21974,0,0,7713,50
cc117_055.datx,A,8.09555555555556,3277,22180,0,0,7548,50
cc117_058.datx,A,8.56055555555556,3168,22187,0,0,7490,50
cc117_061.datx,A,9.02777777777778,3064,22389,0,0,7337,50
cc117_064.datx,A,9.49555555555556,2957,21889,0,50,7534,50
cc117_067.datx,A,9.99888888888889,5739,25400,0,152,7169,50
cc117_070.datx,A,10.4927777777778,5632,25510,0,40,7061,50
cc117_073.datx,A,10.9855555555556,5500,25610,0,0,6945,50
cc117_076.datx,A,11.48,5419,25710,368,0,6854,50
cc117_079.datx,A,11.9733333333333,5306,25810,0,0,6748,50
cc117_082.datx,A,12.4677777777778,5189,25970,0,0,6609,50
cc117_085.datx,A,12.9611111111111,5081,26070,10,0,6505,50
cc117_088.datx,A,13.455,4966,26220,0,0,6373,50
cc117_091.datx,A,13.9483333333333,4855,26324,0,0,6265,50
cc117_094.datx,A,14.4427777777778,4756,26474,15,15,6141,50
cc117_097.datx,A,14.9361111111111,4658,26501,0,0,6078,50
cc117_100.datx,A,15.4305555555556,4561,26601,0,0,5980,50
cc117_103.datx,A,15.925,4473,26674,0,0,5899,50
cc117_106.datx,A,16.4211111111111,4390,26755,0,0,5817,50
cc117_109.datx,A,16.9144444444444,4315,26826,0,10,5744,50
cc117_112.datx,A,17.4088888888889,4235,26895,0,10,5670,50
cc117_115.datx,A,17.9016666666667,4163,27049,0,-15,5557,50
cc117_118.datx,A,18.3961111111111,4095,27052,0,0,5521,50
cc117_121.datx,A,18.8894444444444,4027,27152,15,0,5437,50
cc117_124.datx,A,19.3833333333333,3962,27193,5,0,5384,50
cc117_127.datx,A,19.8761111111111,3896,27259,0,0,5318,50
cc117_130.datx,A,20.3933333333333,3830,27336,0,5,5247,50
cc117_133.datx,A,20.9527777777778,3758,27484,0,0,5137,50
cc117_136.datx,A,21.5116666666667,3684,27557,-20,0,5063,50
cc117_139.datx,A,22.0722222222222,3611,27622,0,0,4994,50
cc117_142.datx,A,22.6311111111111,3542,27660,0,0,4941,50
cc117_145.datx,A,23.1911111111111,3460,27741,0,0,4859,50
cc117_148.datx,A,23.7505555555556,3386,27814,0,0,4786,50
cc117_151.datx,A,24.3105555555556,3319,27896,0,15,4711,50
cc117_154.datx,A,24.8694444444444,3247,27979,0,0,4634,50
cc117_157.datx,A,25.4288888888889,3170,28042,0,20,4564,50
cc117_160.datx,A,25.9877777777778,3100,28132,0,0,4484,50
cc117_163.datx,A,26.5466666666667,3025,28199,0,40,4413,50
cc117_166.datx,A,27.1055555555556,2954,28289,-5,20,4332,50
cc117_169.datx,A,27.6655555555556,2879,28349,0,10,4265,50
cc117_172.datx,A,28.2238888888889,2810,28426,0,20,4192,50
cc117_175.datx,A,28.7855555555556,2738,28512,0,30,4113,50
cc117_178.datx,A,29.3438888888889,2674,28579,0,0,4047,50
cc117_181.datx,A,29.9033333333333,2611,28650,0,0,3980,50
cc117_184.datx,A,30.4616666666667,2538,28750,0,0,3894,50
