file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom
sw520_001.datx,A,0.578888888888889,4575,23312,0,0,26631,50
sw520_004.datx,A,0.918888888888889,4564,23310,0,0,26627,50
sw520_007.datx,A,1.25888888888889,4564,23331,0,0,26616,50
sw520_010.datx,A,1.59944444444444,4559,23326,0,0,26616,50
sw520_013.datx,A,1.93944444444444,4546,23340,0,0,26603,50
sw520_016.datx,A,2.27944444444444,4517,23333,0,0,26592,50
sw520_019.datx,A,2.61944444444444,4492,23350,0,0,26571,50
sw520_022.datx,A,2.96,4462,23369,0,0,26546,50
sw520_025.datx,A,3.3,4460,23368,0,0,26546,50
sw520_028.datx,A,3.64,4438,23419,0,0,26509,50
sw520_031.datx,A,3.98111111111111,4441,23509,0,0,26466,50
sw520_034.datx,A,4.32111111111111,4373,23502,0,0,26435,50
sw520_037.datx,A,4.66277777777778,4343,23552,0,0,26395,50
sw520_040.datx,A,5.08666666666667,4271,23628,0,0,26321,50
sw520_043.datx,A,5.51,4159,23765,0,0,26197,50
sw520_046.datx,A,5.93388888888889,3995,24001,0,0,25997,50
sw520_049.datx,A,6.35722222222222,3776,24188,0,0,25794,50
sw520_052.datx,A,6.78111111111111,3519,24457,0,0,25531,50
sw520_055.datx,A,7.20444444444444,3262,24777,0,0,25242,50
sw520_058.datx,A,7.62833333333333,3000,24942,0,0,25029,50
sw520_061.datx,A,8.05166666666667,2645,25321,0,0,24662,50
sw520_064.datx,A,8.47555555555556,2358,25718,0,0,24320,50
sw520_067.datx,A,8.90055555555556,2042,26274,0,0,23884,50
sw520_070.datx,A,9.32444444444444,1568,26897,0,0,23335,50
sw520_073.datx,A,9.77444444444445,4034,30101,0,0,22966,50
sw520_076.datx,A,10.2672222222222,3383,30361,0,0,22511,50
sw520_079.datx,A,10.7594444444444,2773,30549,0,0,22112,50
sw520_082.datx,A,11.2527777777778,2399,31397,0,0,21501,50
sw520_085.datx,A,11.7461111111111,2043,31950,0,0,21046,50
sw520_088.datx,A,12.2377777777778,1632,32364,0,0,20634,50
sw520_091.datx,A,12.7311111111111,1101,32677,0,0,20212,50
