file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom,strain,mid_height,max_height,min_height,width,hL,hR,avg_height,std_height,forward_change,smooth_height,slope,slope_error,order
bgt127_001.datx,A,0.42,8976,26812,0.0,0.0,11082,50,bgt127,0.34,2.931,-0.298,3.097,14240,25759,0.322,0.092,-0.18,0.471,-0.14,0.147,1
bgt127_004.datx,A,0.74,8968,26815,0.0,0.0,11076,50,bgt127,0.266,3.699,-0.378,3.098,14240,25759,0.264,0.093,0.568,0.437,-0.172,0.111,2
bgt127_007.datx,A,1.06,8964,26831,0.0,0.0,11066,50,bgt127,0.469,4.711,-0.261,3.102,14240,25759,0.448,0.099,0.933,0.363,-0.006,0.128,3
bgt127_010.datx,A,1.39,8961,26845,0.0,0.0,11058,50,bgt127,0.818,5.928,-0.356,3.105,14240,25759,0.75,0.128,-1.184,0.377,0.144,0.134,4
bgt127_013.datx,A,1.71,8950,26863,0.0,0.0,11043,50,bgt127,0.319,7.615,-0.45,3.11,14240,25759,0.366,0.122,-0.24,0.467,0.277,0.134,5
bgt127_016.datx,A,2.04,8925,26882,0.0,0.0,11021,50,bgt127,0.128,9.768,-0.438,3.118,14240,25759,0.288,0.179,-1.164,0.706,0.555,0.195,6
bgt127_019.datx,A,2.36,8890,26891,0.0,0.0,10999,50,bgt127,-0.263,11.727,-0.739,3.125,14240,25759,-0.089,0.321,0.363,0.956,0.648,0.173,7
bgt127_022.datx,A,2.68,8876,26940,0.0,0.0,10968,50,bgt127,-0.182,14.026,-0.626,3.136,14240,25759,0.029,0.295,2.536,1.233,0.874,0.184,8
bgt127_025.datx,A,3.01,8828,26966,0.0,0.0,10931,50,bgt127,0.627,16.494,-0.215,3.149,14240,25759,0.851,0.302,1.202,1.641,1.199,0.217,9
bgt127_028.datx,A,3.33,8805,27032,0.0,0.0,10886,50,bgt127,1.099,18.79,-0.002,3.164,14240,25759,1.241,0.378,1.267,2.116,1.565,0.23,10
bgt127_031.datx,A,3.66,8752,27061,0.0,0.0,10845,50,bgt127,1.288,20.895,-0.002,3.179,14240,25759,1.653,0.451,5.493,2.524,1.8,0.219,11
bgt127_034.datx,A,3.98,8711,27124,0.0,0.0,10793,50,bgt127,3.271,23.522,-0.001,3.197,14240,25759,3.432,0.529,-1.706,3.281,2.293,0.226,12
bgt127_037.datx,A,4.31,8664,27183,0.0,0.0,10740,50,bgt127,2.35,25.702,-0.0,3.215,14240,25759,2.88,0.803,3.21,4.321,2.955,0.293,13
bgt127_040.datx,A,4.63,8601,27236,0.0,0.0,10682,50,bgt127,3.156,28.089,-0.001,3.235,14240,25759,3.919,1.178,5.065,5.674,3.702,0.401,14
bgt127_043.datx,A,4.95,8533,27301,0.0,0.0,10616,50,bgt127,4.666,31.594,-0.001,3.258,14240,25759,5.563,1.32,3.325,7.267,4.488,0.485,15
bgt127_046.datx,A,5.28,8465,27376,0.0,0.0,10544,50,bgt127,5.421,34.783,-0.001,3.283,14240,25759,6.64,1.375,4.771,9.089,5.41,0.542,16
bgt127_049.datx,A,5.72,8376,27492,0.0,0.0,10442,50,bgt127,7.245,38.748,-0.002,3.319,14240,25759,8.763,1.38,9.849,12.192,7.57,0.664,17
bgt127_052.datx,A,6.04,8298,27585,0.0,0.0,10356,50,bgt127,9.916,42.209,-0.002,3.348,14240,25759,11.914,1.717,10.583,14.601,8.85,0.622,18
bgt127_055.datx,A,6.36,8212,27665,0.0,0.0,10273,50,bgt127,12.765,45.973,-0.001,3.377,14240,25759,15.307,2.156,9.537,17.433,9.955,0.602,19
