file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom,strain,mid_height,max_height,min_height,width,hL,hR,avg_height,std_height,forward_change,smooth_height,slope,slope_error
mixstrain_001.datx,A,1.04,4151,21253,0.0,0.0,11449,50,mixstrain,-12.684,5.612,-17.829,2.969,14240,25759,-5.039,4.241,6.948,-3.457,1.891,0.711
mixstrain_004.datx,A,1.37,3925,20945,0.0,0.0,11490,50,mixstrain,-9.764,7.045,-11.529,2.955,14240,25759,-2.793,3.827,6.36,-2.867,1.956,0.531
mixstrain_007.datx,A,1.69,3617,20654,0.0,0.0,11481,50,mixstrain,-7.907,9.293,-9.741,2.958,14240,25759,-0.729,3.621,-1.156,-2.23,1.94,0.412
mixstrain_010.datx,A,2.02,3603,20685,0.0,0.0,11459,50,mixstrain,-8.514,11.776,-10.292,2.966,14240,25759,-1.104,3.645,3.07,-1.602,1.934,0.328
mixstrain_013.datx,A,2.34,3578,20726,0.0,0.0,11426,50,mixstrain,-7.402,14.589,-9.085,2.977,14240,25759,-0.108,3.64,-1.247,-0.984,1.903,0.269
mixstrain_016.datx,A,2.67,3538,20760,0.0,0.0,11389,50,mixstrain,-8.38,18.123,-10.145,2.99,14240,25759,-0.513,4.261,-1.641,-0.276,2.07,0.244
mixstrain_019.datx,A,2.99,3496,20810,0.0,0.0,11343,50,mixstrain,-9.322,20.981,-11.119,3.006,14240,25759,-1.043,4.39,6.566,0.689,2.462,0.305
mixstrain_022.datx,A,3.31,3447,20861,0.0,0.0,11293,50,mixstrain,-7.77,24.271,-9.592,3.023,14240,25759,1.087,4.48,1.252,1.545,2.33,0.35
mixstrain_025.datx,A,3.64,3391,20923,0.0,0.0,11234,50,mixstrain,-7.783,26.425,-9.714,3.044,14240,25759,1.493,4.616,1.982,2.845,3.018,0.501
mixstrain_028.datx,A,3.96,3328,20985,0.0,0.0,11171,50,mixstrain,-8.031,29.161,-10.037,3.065,14240,25759,2.137,5.089,1.337,4.444,4.253,0.639
mixstrain_031.datx,A,4.29,3260,21061,0.0,0.0,11099,50,mixstrain,-8.541,32.22,-10.715,3.09,14240,25759,2.57,5.332,6.723,6.207,5.298,0.659
mixstrain_034.datx,A,4.61,3184,21145,0.0,0.0,11019,50,mixstrain,-6.981,35.415,-9.547,3.118,14240,25759,4.744,5.582,10.799,7.993,6.237,0.562
mixstrain_037.datx,A,4.94,3103,21229,0.0,0.0,10937,50,mixstrain,-4.151,39.518,-7.304,3.147,14240,25759,8.272,6.076,8.487,9.833,6.764,0.548
mixstrain_040.datx,A,5.34,2997,21346,0.0,0.0,10825,50,mixstrain,-2.197,43.92,-5.371,3.186,14240,25759,11.732,6.902,12.59,12.73,8.216,0.47
mixstrain_043.datx,A,5.75,2884,21496,0.0,0.0,10694,50,mixstrain,1.043,48.354,-1.178,3.231,14240,25759,16.874,7.633,6.714,16.292,9.158,0.368
mixstrain_046.datx,A,6.16,2768,21595,0.0,0.0,10586,50,mixstrain,2.62,52.34,-0.0,3.269,14240,25759,19.611,8.242,6.202,20.071,9.74,0.251
mixstrain_049.datx,A,6.57,2667,21735,0.0,0.0,10466,50,mixstrain,4.017,55.808,-0.001,3.31,14240,25759,22.14,8.683,13.87,24.36,10.254,0.312
mixstrain_052.datx,A,6.98,2544,21849,0.0,0.0,10347,50,mixstrain,10.651,60.174,-0.0,3.352,14240,25759,27.781,8.57,12.49,28.596,10.774,0.378
mixstrain_055.datx,A,7.38,2427,21973,0.0,0.0,10227,50,mixstrain,16.503,64.711,-0.0,3.393,14240,25759,32.881,8.653,9.135,32.961,10.983,0.363
mixstrain_058.datx,A,7.79,2326,22121,0.0,0.0,10102,50,mixstrain,20.844,67.529,-0.0,3.437,14240,25759,36.606,8.489,15.288,36.909,10.871,0.414
mixstrain_061.datx,A,8.2,2212,22232,0.0,0.0,9990,50,mixstrain,27.855,72.199,-0.002,3.476,14240,25759,42.848,8.354,10.105,41.142,10.722,0.433
mixstrain_064.datx,A,8.61,2103,22351,0.0,0.0,9876,50,mixstrain,32.566,75.469,-0.0,3.515,14240,25759,46.969,8.202,9.819,45.529,10.184,0.37
mixstrain_067.datx,A,9.01,1997,22625,0.0,0.0,9686,50,mixstrain,37.316,78.191,-0.166,3.581,14240,25759,50.962,8.094,3.503,49.512,9.515,0.382
