strain,fit,x1,x2,x3
bgt127,48h,0.8750234416495829,0.05146381007505979,13.205376226427871
jt305,48h,0.339418737381051,0.02279493371729617,14.3468373952826
gob33,48h,0.34476388035584027,0.023445446391154024,32.07106453969091
y55,48h,0.5551746186250719,0.03700887402865071,44.018239395083704
bh1514,48h,1.1127383414758447,0.038333663159393024,7.065992565175057
ea387,48h,0.9958759324587354,0.029101264928805767,7.783093126708141
cc117,48h,1.3165068722237592,0.057103309425932024,14.475419715574818
sw520,48h,0.8855548826828843,0.05607084671201947,18.078404598819606
sw519,48h,0.4751266498257649,0.053903775644968496,17.025469017247303
bgt127,A,0.885510183249022,0.048473347453529984,12.81805704338161
bgt127,B,0.8718423697519844,0.055822643697089565,13.855284805037877
bgt127,C,0.8771166830231756,0.050208207048009726,12.829237943605767
jt305,A,0.31792447048252076,0.023570131450360486,15.91068140957332
jt305,B,0.32750661428530475,0.02375515138433072,14.881974970370242
jt305,C,0.37335309634376335,0.025764206843251727,13.569907014426718
gob33,A,0.34268207362776243,0.015201991142554506,28.163055937959196
gob33,B,0.3541757471015129,0.03590216255872977,36.52078526834576
gob33,C,0.33561109665336686,0.009339587252622454,27.92802524895792
y55,A,0.5315693317603939,0.04402192420485077,55.175950944719226
y55,B,0.5622321907458537,0.029873612408007517,36.65457767461754
y55,C,0.5800440260820562,0.03745078272023475,41.25094211536419
bh1514,A,1.16222173226151,0.03824401450565261,6.849060755386091
bh1514,B,0.9583068134818354,0.04228907988367971,9.004521152255851
bh1514,C,1.1809555268434135,0.03667054813706014,6.186780174809233
ea387,A,1.3710880799261753,0.01021810263721919,4.06071679561849
ea387,B,0.8876968215606802,0.039326802377140486,9.122643008708241
ea387,C,0.9293533081644496,0.04045622968412343,10.879525162079627
cc117,A,1.2582898776712828,0.07105146164255526,16.874222058478477
cc117,B,1.2614754799467747,0.05976347044992813,16.03459998486709
cc117,C,1.4673932641780452,0.042933086565668986,11.073332662535345
sw520,A,1.0963013738071277,0.024547634448555528,10.166912287979624
sw520,B,0.8459280843208612,0.06880645293948301,20.216713996535635
sw520,C,0.8444320238128056,0.06856268556467787,22.524784186953454
sw519,A,0.4747194507868501,0.050949367604282855,16.632585715825403
sw519,B,0.46719255197828496,0.05505478897737495,16.758163004673015
sw519,C,0.4832792191180099,0.04852231374990804,16.458164678655848
bgt127,long,0.8447392179913538,0.062439602238195,15.306008084305928
jt305,long,0.34471451437941736,0.01295279370647239,12.131146354328248
gob33,long,0.3359851976616903,0.011610671573438423,28.746878618115034
