strain,fit,x1,x2
bgt127,48h,0.517122555558436,164.24417670231264
jt305,48h,0.27625412930309046,100.36942591920406
gob33,48h,0.2888931251712623,216.92050289882127
y55,48h,0.39410791862061745,407.90439045311507
bh1514,48h,0.5319046554275971,134.83180887188718
ea387,48h,0.4781357109733307,149.43992769707526
cc117,48h,0.6325811889323218,255.09894227140936
sw520,48h,0.5746442833821137,209.70750778048807
sw519,48h,0.35743092070055427,112.95260642806038
bgt127,A,0.51128382149868,167.18967574418883
bgt127,B,0.5238886741883942,163.30449692277801
bgt127,C,0.5158683941178875,162.33162419330264
jt305,A,0.2664733902304557,101.51966767420866
jt305,B,0.2701744803448016,98.78491415236509
jt305,C,0.2940468932073235,101.00810684592088
gob33,A,0.2878645628249286,211.09143315107247
gob33,B,0.2957201973834336,212.91802308473243
gob33,C,0.28552991668495536,222.29309432514918
y55,A,0.3916700726594396,444.8129889760451
y55,B,0.3816644422948515,383.7989888150446
y55,C,0.40892715978994887,396.40641596230427
bh1514,A,0.5442684960409612,136.12544926023799
bh1514,B,0.5206077017399212,139.64511753738
bh1514,C,0.5319720959642038,128.75699071452829
ea387,A,0.4457218270466193,148.4406363225372
ea387,B,0.4708601639293842,136.20544895387496
ea387,C,0.5057986643274672,165.15626699212126
cc117,A,0.6558954258961928,245.1954619635262
cc117,B,0.6259255899986665,263.47010167963356
cc117,C,0.6131037303043825,257.2796316295904
sw520,A,0.5898377261466655,211.98924898622798
sw520,B,0.5655743763759455,196.6979536423529
sw520,C,0.5740377290765787,218.26031621784435
sw519,A,0.35748638762221,113.21380901130469
sw519,B,0.35446350933597803,107.35085218437254
sw519,C,0.36152262596938267,117.46335731393934
bgt127,long,0.5047704811487672,168.85515511998037
gob33,long,0.19305068907515374,680.8165752164086
jt305,long,0.1809148462265169,262.49661726638055
