file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom
bgt127_01.datx,lg01,41.2444444444444,607,8854,0,0,6876,10
bgt127_02.datx,lg02,41.2894444444444,629,8180,0,0,7224,10
bgt127_03.datx,lg03,41.3372222222222,518,9203,0,0,6657,10
bgt127_04.datx,lg04,85.2127777777778,693,11484,0,0,5604,10
bgt127_05.datx,lg05,85.27,723,11550,0,0,5586,10
bgt127_06.datx,lg06,85.3883333333333,793,11344,0,0,5724,10
bgt127_07.datx,lg07,133.053888888889,621,13514,0,0,4553,10
bgt127_08.datx,lg08,133.128333333333,821,13801,0,0,4510,10
bgt127_09.datx,lg09,133.207222222222,621,12937,0,0,4842,10
bgt127_10.datx,lg10,184.117777777778,780,16120,0,0,3330,10
bgt127_11.datx,lg11,184.188888888889,845,15567,0,0,3639,10
bgt127_12.datx,lg12,184.267222222222,825,15139,0,0,3843,10
bgt127_13.datx,lg13,229.258888888889,653,16629,0,0,3012,10
bgt127_14.datx,lg14,229.352222222222,767,17978,0,0,2394,10
bgt127_15.datx,lg15,229.45,719,17962,0,0,2378,10
bgt127_16.datx,lg16,277.227222222222,676,18637,0,0,2019,10
bgt127_17.datx,lg17,277.327222222222,714,18415,0,0,2149,10
bgt127_18.datx,lg18,277.441111111111,689,20953,0,0,868,10
bgt127_19.datx,lg19,324.816666666667,596,21894,0,0,351,10
bgt127_20.datx,lg20,324.951666666667,726,21119,0,0,803,10
bgt127_21.datx,lg21,325.058333333333,794,20760,0,0,1017,10
gob33_01.datx,lg01,41.5727777777778,466,4625,0,0,3920,10
gob33_02.datx,lg02,41.6111111111111,476,5990,0,0,3243,10
gob33_03.datx,lg03,41.6672222222222,461,5883,0,0,3289,10
gob33_04.datx,lg04,85.8444444444445,633,7137,0,0,2748,10
gob33_05.datx,lg05,85.9388888888889,801,7009,0,0,2896,10
gob33_06.datx,lg06,86.0388888888889,734,7183,0,0,2775,10
gob33_07.datx,lg07,133.662777777778,668,8187,0,0,2240,10
gob33_08.datx,lg08,133.796666666667,638,7961,0,0,2338,10
gob33_09.datx,lg09,133.943333333333,550,8186,0,0,2182,10
gob33_10.datx,lg10,184.712222222222,830,9344,0,0,1743,10
gob33_11.datx,lg11,184.866666666667,609,9081,0,0,1764,10
gob33_12.datx,lg12,185.025555555556,722,8982,0,0,1870,10
gob33_13.datx,lg13,229.934444444444,723,10068,0,0,1327,10
gob33_14.datx,lg14,230.103888888889,732,10291,0,0,1220,10
gob33_15.datx,lg15,230.274444444444,859,10532,0,0,1163,10
gob33_16.datx,lg16,277.872222222222,700,11294,0,0,703,10
gob33_17.datx,lg17,278.031111111111,777,10989,0,0,894,10
gob33_18.datx,lg18,278.324444444444,850,11349,0,0,750,10
gob33_19.datx,lg19,325.963333333333,730,11352,0,0,689,10
gob33_20.datx,lg20,326.305,673,11926,0,0,373,10
gob33_21.datx,lg21,326.707777777778,846,11587,0,0,629,10
jt305_01.datx,lg01,41.4072222222222,452,6274,0,0,4089,10
jt305_02.datx,lg02,41.4516666666667,509,6594,0,0,3957,10
jt305_03.datx,lg03,41.4905555555556,492,6214,0,0,4139,10
jt305_04.datx,lg04,85.4777777777778,721,7786,0,0,3467,10
jt305_05.datx,lg05,85.6116666666667,701,7978,0,0,3361,10
jt305_06.datx,lg06,85.6711111111111,723,8094,0,0,3314,10
jt305_07.datx,lg07,133.349444444444,617,9424,0,0,2596,10
jt305_08.datx,lg08,133.405555555556,656,9583,0,0,2536,10
jt305_09.datx,lg09,133.465,654,9871,0,0,2391,10
jt305_10.datx,lg10,184.381666666667,830,10799,0,0,2015,10
jt305_11.datx,lg11,184.458333333333,882,11707,0,0,1587,10
jt305_12.datx,lg12,184.53,772,10891,0,0,1940,10
jt305_13.datx,lg13,229.57,733,12399,0,0,1167,10
jt305_14.datx,lg14,229.647222222222,788,12216,0,0,1286,10
jt305_15.datx,lg15,229.718888888889,767,12291,0,0,1238,10
jt305_16.datx,lg16,277.556666666667,647,12834,0,0,906,10
jt305_17.datx,lg17,277.63,763,12927,0,0,918,10
jt305_18.datx,lg18,277.702777777778,690,12003,0,0,1343,10
jt305_19.datx,lg19,325.210555555556,874,13238,0,0,818,10
jt305_20.datx,lg20,325.328333333333,723,14484,0,0,119,10
jt305_21.datx,lg21,325.43,724,13983,0,0,370,10
