file,replicate,time,border_l,border_r,offset_l,offset_r,displacement,zoom,strain,mid_height,max_height,min_height,width,hL,hR,avg_height,std_height,forward_change,smooth_height,slope,slope_error
bgt127_01.datx,lg01,41.24,607,8854,0,0,6876,10,bgt127,165.579,205.859,-0.154,7.158,9848,12151,168.673,3.656,NaN,168.673,NaN,NaN
bgt127_02.datx,lg02,41.29,629,8180,0,0,7224,10,bgt127,176.194,205.223,-2.396,6.554,9848,12151,179.765,3.932,NaN,179.765,NaN,NaN
bgt127_03.datx,lg03,41.34,518,9203,0,0,6657,10,bgt127,160.451,199.292,-0.906,7.539,9848,12151,163.092,2.379,NaN,163.092,NaN,NaN
bgt127_04.datx,lg04,85.21,693,11484,0,0,5604,10,bgt127,221.394,235.2,-0.37,9.367,9848,12151,223.586,2.493,NaN,223.586,NaN,NaN
bgt127_05.datx,lg05,85.27,723,11550,0,0,5586,10,bgt127,219.146,229.267,-0.735,9.398,9848,12151,221.254,1.728,NaN,221.254,NaN,NaN
bgt127_06.datx,lg06,85.39,793,11344,0,0,5724,10,bgt127,182.45,209.042,-11.345,9.158,9848,12151,184.198,5.286,NaN,184.198,NaN,NaN
bgt127_07.datx,lg07,133.05,621,13514,0,0,4553,10,bgt127,221.046,227.304,-0.018,11.192,9848,12151,219.03,1.871,NaN,219.03,NaN,NaN
bgt127_08.datx,lg08,133.13,821,13801,0,0,4510,10,bgt127,220.072,222.12,-0.928,11.267,9848,12151,217.735,1.84,NaN,217.735,NaN,NaN
bgt127_09.datx,lg09,133.21,621,12937,0,0,4842,10,bgt127,201.137,203.044,-0.276,10.691,9848,12151,199.058,1.607,NaN,199.058,NaN,NaN
bgt127_10.datx,lg10,184.12,780,16120,0,0,3330,10,bgt127,187.673,212.685,-1.806,13.316,9848,12151,189.983,3.813,NaN,189.983,NaN,NaN
bgt127_11.datx,lg11,184.19,845,15567,0,0,3639,10,bgt127,192.185,207.108,-0.058,12.779,9848,12151,195.508,6.767,NaN,195.508,NaN,NaN
bgt127_12.datx,lg12,184.27,825,15139,0,0,3843,10,bgt127,167.053,182.244,-1.141,12.425,9848,12151,169.799,8.165,NaN,169.799,NaN,NaN
bgt127_13.datx,lg13,229.26,653,16629,0,0,3012,10,bgt127,191.08,209.772,-1.248,13.868,9848,12151,193.908,6.855,NaN,193.908,NaN,NaN
bgt127_14.datx,lg14,229.35,767,17978,0,0,2394,10,bgt127,179.873,200.621,-2.055,14.94,9848,12151,181.358,3.743,NaN,181.358,NaN,NaN
bgt127_15.datx,lg15,229.45,719,17962,0,0,2378,10,bgt127,179.2,199.149,-0.008,14.968,9848,12151,184.062,7.175,NaN,184.062,NaN,NaN
bgt127_16.datx,lg16,277.23,676,18637,0,0,2019,10,bgt127,222.485,222.951,-0.109,15.591,9848,12151,218.858,3.632,NaN,218.858,NaN,NaN
bgt127_17.datx,lg17,277.33,714,18415,0,0,2149,10,bgt127,195.33,199.025,-0.238,15.365,9848,12151,194.365,4.174,NaN,194.365,NaN,NaN
bgt127_18.datx,lg18,277.44,689,20953,0,0,868,10,bgt127,213.655,222.846,-1.428,17.59,9848,12151,215.77,1.98,NaN,215.77,NaN,NaN
